country=Latin+America&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.03686
1993-01-01T00:00:00+00:00 (GMT),0.03512
1994-01-01T00:00:00+00:00 (GMT),0.03414
1995-01-01T00:00:00+00:00 (GMT),0.03487
1996-01-01T00:00:00+00:00 (GMT),0.03504
1997-01-01T00:00:00+00:00 (GMT),0.0361
1998-01-01T00:00:00+00:00 (GMT),0.03781
1999-01-01T00:00:00+00:00 (GMT),0.03768
2000-01-01T00:00:00+00:00 (GMT),0.03689
2001-01-01T00:00:00+00:00 (GMT),0.03854
2002-01-01T00:00:00+00:00 (GMT),0.03749
2003-01-01T00:00:00+00:00 (GMT),0.03735
2004-01-01T00:00:00+00:00 (GMT),0.03818
2005-01-01T00:00:00+00:00 (GMT),0.03816
2006-01-01T00:00:00+00:00 (GMT),0.03768
2007-01-01T00:00:00+00:00 (GMT),0.0382
2008-01-01T00:00:00+00:00 (GMT),0.03924
