country=Latvia&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.27995
1993-01-01T00:00:00+00:00 (GMT),0.27247
1994-01-01T00:00:00+00:00 (GMT),0.25078
1995-01-01T00:00:00+00:00 (GMT),0.23877
1996-01-01T00:00:00+00:00 (GMT),0.26167
1997-01-01T00:00:00+00:00 (GMT),0.21764
1998-01-01T00:00:00+00:00 (GMT),0.19775
1999-01-01T00:00:00+00:00 (GMT),0.21797
2000-01-01T00:00:00+00:00 (GMT),0.19963
2001-01-01T00:00:00+00:00 (GMT),0.18938
2002-01-01T00:00:00+00:00 (GMT),0.18788
2003-01-01T00:00:00+00:00 (GMT),0.1825
2004-01-01T00:00:00+00:00 (GMT),0.16623
2005-01-01T00:00:00+00:00 (GMT),0.16178
2006-01-01T00:00:00+00:00 (GMT),0.16731
2007-01-01T00:00:00+00:00 (GMT),0.16405
2008-01-01T00:00:00+00:00 (GMT),0.16224
