country=Lithuania&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.22111
1993-01-01T00:00:00+00:00 (GMT),0.22101
1994-01-01T00:00:00+00:00 (GMT),0.25584
1995-01-01T00:00:00+00:00 (GMT),0.20759
1996-01-01T00:00:00+00:00 (GMT),0.206
1997-01-01T00:00:00+00:00 (GMT),0.20079
1998-01-01T00:00:00+00:00 (GMT),0.20946
1999-01-01T00:00:00+00:00 (GMT),0.21196
2000-01-01T00:00:00+00:00 (GMT),0.19041
2001-01-01T00:00:00+00:00 (GMT),0.1754
2002-01-01T00:00:00+00:00 (GMT),0.14712
2003-01-01T00:00:00+00:00 (GMT),0.13557
2004-01-01T00:00:00+00:00 (GMT),0.13569
2005-01-01T00:00:00+00:00 (GMT),0.1602
2006-01-01T00:00:00+00:00 (GMT),0.15958
2007-01-01T00:00:00+00:00 (GMT),0.13917
2008-01-01T00:00:00+00:00 (GMT),0.1305
