country=Lithuania&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.01773
1991-01-01T00:00:00+00:00 (GMT),0.01692
1992-01-01T00:00:00+00:00 (GMT),0.01701
1993-01-01T00:00:00+00:00 (GMT),0.01688
1994-01-01T00:00:00+00:00 (GMT),0.01551
1995-01-01T00:00:00+00:00 (GMT),0.00918
1996-01-01T00:00:00+00:00 (GMT),0.00817
1997-01-01T00:00:00+00:00 (GMT),0.00555
1998-01-01T00:00:00+00:00 (GMT),0.0017
1999-01-01T00:00:00+00:00 (GMT),0.00176
2000-01-01T00:00:00+00:00 (GMT),0.00175
2001-01-01T00:00:00+00:00 (GMT),0.00164
2002-01-01T00:00:00+00:00 (GMT),0.00225
2003-01-01T00:00:00+00:00 (GMT),0.00226
2004-01-01T00:00:00+00:00 (GMT),0.00229
2005-01-01T00:00:00+00:00 (GMT),0.00498
2006-01-01T00:00:00+00:00 (GMT),0.00592
2007-01-01T00:00:00+00:00 (GMT),0.00585
2008-01-01T00:00:00+00:00 (GMT),0.00593
