country=Luxembourg&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),2.60601
1991-01-01T00:00:00+00:00 (GMT),2.48703
1992-01-01T00:00:00+00:00 (GMT),2.50033
1993-01-01T00:00:00+00:00 (GMT),2.48092
1994-01-01T00:00:00+00:00 (GMT),2.27988
1995-01-01T00:00:00+00:00 (GMT),1.34918
1996-01-01T00:00:00+00:00 (GMT),1.20089
1997-01-01T00:00:00+00:00 (GMT),0.81548
1998-01-01T00:00:00+00:00 (GMT),0.25056
1999-01-01T00:00:00+00:00 (GMT),0.25948
2000-01-01T00:00:00+00:00 (GMT),0.25682
2001-01-01T00:00:00+00:00 (GMT),0.24159
2002-01-01T00:00:00+00:00 (GMT),0.33102
2003-01-01T00:00:00+00:00 (GMT),0.33245
2004-01-01T00:00:00+00:00 (GMT),0.3361
2005-01-01T00:00:00+00:00 (GMT),0.33274
2006-01-01T00:00:00+00:00 (GMT),0.33197
2007-01-01T00:00:00+00:00 (GMT),0.33374
2008-01-01T00:00:00+00:00 (GMT),0.32071
