country=Luxembourg&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),2.58828
1991-01-01T00:00:00+00:00 (GMT),2.47011
1992-01-01T00:00:00+00:00 (GMT),2.48332
1993-01-01T00:00:00+00:00 (GMT),2.46404
1994-01-01T00:00:00+00:00 (GMT),2.26437
1995-01-01T00:00:00+00:00 (GMT),1.34
1996-01-01T00:00:00+00:00 (GMT),1.19272
1997-01-01T00:00:00+00:00 (GMT),0.80993
1998-01-01T00:00:00+00:00 (GMT),0.24886
1999-01-01T00:00:00+00:00 (GMT),0.25772
2000-01-01T00:00:00+00:00 (GMT),0.25507
2001-01-01T00:00:00+00:00 (GMT),0.23995
2002-01-01T00:00:00+00:00 (GMT),0.32877
2003-01-01T00:00:00+00:00 (GMT),0.33019
2004-01-01T00:00:00+00:00 (GMT),0.33381
2005-01-01T00:00:00+00:00 (GMT),0.32776
2006-01-01T00:00:00+00:00 (GMT),0.32605
2007-01-01T00:00:00+00:00 (GMT),0.32789
2008-01-01T00:00:00+00:00 (GMT),0.31478
