country=Malaysia&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.62278
1993-01-01T00:00:00+00:00 (GMT),0.59855
1994-01-01T00:00:00+00:00 (GMT),0.54731
1995-01-01T00:00:00+00:00 (GMT),0.54494
1996-01-01T00:00:00+00:00 (GMT),0.54667
1997-01-01T00:00:00+00:00 (GMT),0.48544
1998-01-01T00:00:00+00:00 (GMT),0.526
1999-01-01T00:00:00+00:00 (GMT),0.50736
2000-01-01T00:00:00+00:00 (GMT),0.49537
2001-01-01T00:00:00+00:00 (GMT),0.52062
2002-01-01T00:00:00+00:00 (GMT),0.5689
2003-01-01T00:00:00+00:00 (GMT),0.51182
2004-01-01T00:00:00+00:00 (GMT),0.55992
2005-01-01T00:00:00+00:00 (GMT),0.63225
2006-01-01T00:00:00+00:00 (GMT),0.61554
2007-01-01T00:00:00+00:00 (GMT),0.62223
2008-01-01T00:00:00+00:00 (GMT),0.67455
