country=Malaysia&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.02447
1993-01-01T00:00:00+00:00 (GMT),0.02351
1994-01-01T00:00:00+00:00 (GMT),0.02151
1995-01-01T00:00:00+00:00 (GMT),0.02141
1996-01-01T00:00:00+00:00 (GMT),0.02148
1997-01-01T00:00:00+00:00 (GMT),0.01907
1998-01-01T00:00:00+00:00 (GMT),0.02067
1999-01-01T00:00:00+00:00 (GMT),0.01994
2000-01-01T00:00:00+00:00 (GMT),0.01946
2001-01-01T00:00:00+00:00 (GMT),0.02045
2002-01-01T00:00:00+00:00 (GMT),0.02235
2003-01-01T00:00:00+00:00 (GMT),0.02011
2004-01-01T00:00:00+00:00 (GMT),0.02199
2005-01-01T00:00:00+00:00 (GMT),0.02729
2006-01-01T00:00:00+00:00 (GMT),0.00854
2007-01-01T00:00:00+00:00 (GMT),0.01158
2008-01-01T00:00:00+00:00 (GMT),0.01863
