country=Malaysia&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.59831
1993-01-01T00:00:00+00:00 (GMT),0.57504
1994-01-01T00:00:00+00:00 (GMT),0.5258
1995-01-01T00:00:00+00:00 (GMT),0.52353
1996-01-01T00:00:00+00:00 (GMT),0.52519
1997-01-01T00:00:00+00:00 (GMT),0.46637
1998-01-01T00:00:00+00:00 (GMT),0.50533
1999-01-01T00:00:00+00:00 (GMT),0.48742
2000-01-01T00:00:00+00:00 (GMT),0.47591
2001-01-01T00:00:00+00:00 (GMT),0.50017
2002-01-01T00:00:00+00:00 (GMT),0.54655
2003-01-01T00:00:00+00:00 (GMT),0.49171
2004-01-01T00:00:00+00:00 (GMT),0.53793
2005-01-01T00:00:00+00:00 (GMT),0.60496
2006-01-01T00:00:00+00:00 (GMT),0.607
2007-01-01T00:00:00+00:00 (GMT),0.61065
2008-01-01T00:00:00+00:00 (GMT),0.65592
