country=Malta&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),1.18639
1993-01-01T00:00:00+00:00 (GMT),1.61346
1994-01-01T00:00:00+00:00 (GMT),1.34876
1995-01-01T00:00:00+00:00 (GMT),1.11286
1996-01-01T00:00:00+00:00 (GMT),1.13153
1997-01-01T00:00:00+00:00 (GMT),1.08884
1998-01-01T00:00:00+00:00 (GMT),1.08309
1999-01-01T00:00:00+00:00 (GMT),1.05033
2000-01-01T00:00:00+00:00 (GMT),0.95217
2001-01-01T00:00:00+00:00 (GMT),1.07939
2002-01-01T00:00:00+00:00 (GMT),0.98724
2003-01-01T00:00:00+00:00 (GMT),0.97687
2004-01-01T00:00:00+00:00 (GMT),1.01427
2005-01-01T00:00:00+00:00 (GMT),1.03668
2006-01-01T00:00:00+00:00 (GMT),1.00896
2007-01-01T00:00:00+00:00 (GMT),1.08012
2008-01-01T00:00:00+00:00 (GMT),1.00077
