country=Malta&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.04655
1991-01-01T00:00:00+00:00 (GMT),0.04525
1992-01-01T00:00:00+00:00 (GMT),0.04427
1993-01-01T00:00:00+00:00 (GMT),0.04542
1994-01-01T00:00:00+00:00 (GMT),0.04242
1995-01-01T00:00:00+00:00 (GMT),0.03675
1996-01-01T00:00:00+00:00 (GMT),0.03506
1997-01-01T00:00:00+00:00 (GMT),0.03388
1998-01-01T00:00:00+00:00 (GMT),0.033
1999-01-01T00:00:00+00:00 (GMT),0.03288
2000-01-01T00:00:00+00:00 (GMT),0.03166
2001-01-01T00:00:00+00:00 (GMT),0.03276
2002-01-01T00:00:00+00:00 (GMT),0.03177
2003-01-01T00:00:00+00:00 (GMT),0.03209
2004-01-01T00:00:00+00:00 (GMT),0.0313
2005-01-01T00:00:00+00:00 (GMT),0.03061
2006-01-01T00:00:00+00:00 (GMT),0.0291
2007-01-01T00:00:00+00:00 (GMT),0.02892
2008-01-01T00:00:00+00:00 (GMT),0.02843
