country=Malta&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),1.02049
1993-01-01T00:00:00+00:00 (GMT),1.38784
1994-01-01T00:00:00+00:00 (GMT),1.16015
1995-01-01T00:00:00+00:00 (GMT),0.95725
1996-01-01T00:00:00+00:00 (GMT),0.9733
1997-01-01T00:00:00+00:00 (GMT),0.93658
1998-01-01T00:00:00+00:00 (GMT),0.93164
1999-01-01T00:00:00+00:00 (GMT),0.90346
2000-01-01T00:00:00+00:00 (GMT),0.81902
2001-01-01T00:00:00+00:00 (GMT),0.92845
2002-01-01T00:00:00+00:00 (GMT),0.84919
2003-01-01T00:00:00+00:00 (GMT),0.84027
2004-01-01T00:00:00+00:00 (GMT),0.87244
2005-01-01T00:00:00+00:00 (GMT),0.91664
2006-01-01T00:00:00+00:00 (GMT),0.87816
2007-01-01T00:00:00+00:00 (GMT),0.92346
2008-01-01T00:00:00+00:00 (GMT),0.84871
