country=Mexico&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.664
1991-01-01T00:00:00+00:00 (GMT),0.65884
1992-01-01T00:00:00+00:00 (GMT),0.62903
1993-01-01T00:00:00+00:00 (GMT),0.64112
1994-01-01T00:00:00+00:00 (GMT),0.70311
1995-01-01T00:00:00+00:00 (GMT),0.63781
1996-01-01T00:00:00+00:00 (GMT),0.63713
1997-01-01T00:00:00+00:00 (GMT),0.66144
1998-01-01T00:00:00+00:00 (GMT),0.68481
1999-01-01T00:00:00+00:00 (GMT),0.67575
2000-01-01T00:00:00+00:00 (GMT),0.68694
2001-01-01T00:00:00+00:00 (GMT),0.69044
2002-01-01T00:00:00+00:00 (GMT),0.6872
2003-01-01T00:00:00+00:00 (GMT),0.71234
2004-01-01T00:00:00+00:00 (GMT),0.6248
2005-01-01T00:00:00+00:00 (GMT),0.62928
2006-01-01T00:00:00+00:00 (GMT),0.57529
2007-01-01T00:00:00+00:00 (GMT),0.59025
2008-01-01T00:00:00+00:00 (GMT),0.53451
