country=Mexico&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.11471
1991-01-01T00:00:00+00:00 (GMT),0.11382
1992-01-01T00:00:00+00:00 (GMT),0.10867
1993-01-01T00:00:00+00:00 (GMT),0.11076
1994-01-01T00:00:00+00:00 (GMT),0.12147
1995-01-01T00:00:00+00:00 (GMT),0.11019
1996-01-01T00:00:00+00:00 (GMT),0.11007
1997-01-01T00:00:00+00:00 (GMT),0.11427
1998-01-01T00:00:00+00:00 (GMT),0.11831
1999-01-01T00:00:00+00:00 (GMT),0.11674
2000-01-01T00:00:00+00:00 (GMT),0.11867
2001-01-01T00:00:00+00:00 (GMT),0.11928
2002-01-01T00:00:00+00:00 (GMT),0.11872
2003-01-01T00:00:00+00:00 (GMT),0.12306
2004-01-01T00:00:00+00:00 (GMT),0.10794
2005-01-01T00:00:00+00:00 (GMT),0.11098
2006-01-01T00:00:00+00:00 (GMT),0.09989
2007-01-01T00:00:00+00:00 (GMT),0.10387
2008-01-01T00:00:00+00:00 (GMT),0.09455
