country=Mexico&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.54929
1991-01-01T00:00:00+00:00 (GMT),0.54502
1992-01-01T00:00:00+00:00 (GMT),0.52036
1993-01-01T00:00:00+00:00 (GMT),0.53036
1994-01-01T00:00:00+00:00 (GMT),0.58164
1995-01-01T00:00:00+00:00 (GMT),0.52762
1996-01-01T00:00:00+00:00 (GMT),0.52706
1997-01-01T00:00:00+00:00 (GMT),0.54717
1998-01-01T00:00:00+00:00 (GMT),0.5665
1999-01-01T00:00:00+00:00 (GMT),0.55901
2000-01-01T00:00:00+00:00 (GMT),0.56827
2001-01-01T00:00:00+00:00 (GMT),0.57116
2002-01-01T00:00:00+00:00 (GMT),0.56848
2003-01-01T00:00:00+00:00 (GMT),0.58928
2004-01-01T00:00:00+00:00 (GMT),0.51686
2005-01-01T00:00:00+00:00 (GMT),0.5183
2006-01-01T00:00:00+00:00 (GMT),0.4754
2007-01-01T00:00:00+00:00 (GMT),0.48638
2008-01-01T00:00:00+00:00 (GMT),0.43996
