country=Middle-East&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.71373
1993-01-01T00:00:00+00:00 (GMT),0.72079
1994-01-01T00:00:00+00:00 (GMT),0.72397
1995-01-01T00:00:00+00:00 (GMT),0.72635
1996-01-01T00:00:00+00:00 (GMT),0.71886
1997-01-01T00:00:00+00:00 (GMT),0.71719
1998-01-01T00:00:00+00:00 (GMT),0.70339
1999-01-01T00:00:00+00:00 (GMT),0.70737
2000-01-01T00:00:00+00:00 (GMT),0.7044
2001-01-01T00:00:00+00:00 (GMT),0.70366
2002-01-01T00:00:00+00:00 (GMT),0.69048
2003-01-01T00:00:00+00:00 (GMT),0.68623
2004-01-01T00:00:00+00:00 (GMT),0.70564
2005-01-01T00:00:00+00:00 (GMT),0.69607
2006-01-01T00:00:00+00:00 (GMT),0.67678
2007-01-01T00:00:00+00:00 (GMT),0.67909
2008-01-01T00:00:00+00:00 (GMT),0.68707
