country=Netherlands&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.6349
1991-01-01T00:00:00+00:00 (GMT),0.61706
1992-01-01T00:00:00+00:00 (GMT),0.60379
1993-01-01T00:00:00+00:00 (GMT),0.61952
1994-01-01T00:00:00+00:00 (GMT),0.57855
1995-01-01T00:00:00+00:00 (GMT),0.50115
1996-01-01T00:00:00+00:00 (GMT),0.47816
1997-01-01T00:00:00+00:00 (GMT),0.46202
1998-01-01T00:00:00+00:00 (GMT),0.45002
1999-01-01T00:00:00+00:00 (GMT),0.44836
2000-01-01T00:00:00+00:00 (GMT),0.43168
2001-01-01T00:00:00+00:00 (GMT),0.4468
2002-01-01T00:00:00+00:00 (GMT),0.43325
2003-01-01T00:00:00+00:00 (GMT),0.43771
2004-01-01T00:00:00+00:00 (GMT),0.42681
2005-01-01T00:00:00+00:00 (GMT),0.41767
2006-01-01T00:00:00+00:00 (GMT),0.42342
2007-01-01T00:00:00+00:00 (GMT),0.42819
2008-01-01T00:00:00+00:00 (GMT),0.42051
