country=New+Zealand&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.11479
1991-01-01T00:00:00+00:00 (GMT),0.12481
1992-01-01T00:00:00+00:00 (GMT),0.16019
1993-01-01T00:00:00+00:00 (GMT),0.12919
1994-01-01T00:00:00+00:00 (GMT),0.10634
1995-01-01T00:00:00+00:00 (GMT),0.09624
1996-01-01T00:00:00+00:00 (GMT),0.11919
1997-01-01T00:00:00+00:00 (GMT),0.16569
1998-01-01T00:00:00+00:00 (GMT),0.13554
1999-01-01T00:00:00+00:00 (GMT),0.16513
2000-01-01T00:00:00+00:00 (GMT),0.15412
2001-01-01T00:00:00+00:00 (GMT),0.19526
2002-01-01T00:00:00+00:00 (GMT),0.16632
2003-01-01T00:00:00+00:00 (GMT),0.20692
2004-01-01T00:00:00+00:00 (GMT),0.19307
2005-01-01T00:00:00+00:00 (GMT),0.23566
2006-01-01T00:00:00+00:00 (GMT),0.22898
2007-01-01T00:00:00+00:00 (GMT),0.19275
2008-01-01T00:00:00+00:00 (GMT),0.21352
