country=Non-OECD+Europe&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.09022
1993-01-01T00:00:00+00:00 (GMT),0.0882
1994-01-01T00:00:00+00:00 (GMT),0.09044
1995-01-01T00:00:00+00:00 (GMT),0.09137
1996-01-01T00:00:00+00:00 (GMT),0.08889
1997-01-01T00:00:00+00:00 (GMT),0.0909
1998-01-01T00:00:00+00:00 (GMT),0.09052
1999-01-01T00:00:00+00:00 (GMT),0.08504
2000-01-01T00:00:00+00:00 (GMT),0.09082
2001-01-01T00:00:00+00:00 (GMT),0.09298
2002-01-01T00:00:00+00:00 (GMT),0.09401
2003-01-01T00:00:00+00:00 (GMT),0.09946
2004-01-01T00:00:00+00:00 (GMT),0.09443
2005-01-01T00:00:00+00:00 (GMT),0.08496
2006-01-01T00:00:00+00:00 (GMT),0.09044
2007-01-01T00:00:00+00:00 (GMT),0.09493
2008-01-01T00:00:00+00:00 (GMT),0.09098
