country=Non-OECD+Europe&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.48278
1993-01-01T00:00:00+00:00 (GMT),0.47201
1994-01-01T00:00:00+00:00 (GMT),0.48399
1995-01-01T00:00:00+00:00 (GMT),0.48891
1996-01-01T00:00:00+00:00 (GMT),0.47562
1997-01-01T00:00:00+00:00 (GMT),0.48636
1998-01-01T00:00:00+00:00 (GMT),0.48437
1999-01-01T00:00:00+00:00 (GMT),0.45507
2000-01-01T00:00:00+00:00 (GMT),0.48595
2001-01-01T00:00:00+00:00 (GMT),0.4975
2002-01-01T00:00:00+00:00 (GMT),0.50304
2003-01-01T00:00:00+00:00 (GMT),0.53223
2004-01-01T00:00:00+00:00 (GMT),0.50529
2005-01-01T00:00:00+00:00 (GMT),0.46804
2006-01-01T00:00:00+00:00 (GMT),0.48906
2007-01-01T00:00:00+00:00 (GMT),0.52573
2008-01-01T00:00:00+00:00 (GMT),0.50924
