country=Norway&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00342
1991-01-01T00:00:00+00:00 (GMT),0.00453
1992-01-01T00:00:00+00:00 (GMT),0.00387
1993-01-01T00:00:00+00:00 (GMT),0.00418
1994-01-01T00:00:00+00:00 (GMT),0.00516
1995-01-01T00:00:00+00:00 (GMT),0.00449
1996-01-01T00:00:00+00:00 (GMT),0.00629
1997-01-01T00:00:00+00:00 (GMT),0.00548
1998-01-01T00:00:00+00:00 (GMT),0.0055
1999-01-01T00:00:00+00:00 (GMT),0.006
2000-01-01T00:00:00+00:00 (GMT),0.00406
2001-01-01T00:00:00+00:00 (GMT),0.00583
2002-01-01T00:00:00+00:00 (GMT),0.0053
2003-01-01T00:00:00+00:00 (GMT),0.00833
2004-01-01T00:00:00+00:00 (GMT),0.00712
2005-01-01T00:00:00+00:00 (GMT),0.00556
2006-01-01T00:00:00+00:00 (GMT),0.00696
2007-01-01T00:00:00+00:00 (GMT),0.00745
2008-01-01T00:00:00+00:00 (GMT),0.00524
