country=Pakistan&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.39319
1993-01-01T00:00:00+00:00 (GMT),0.38423
1994-01-01T00:00:00+00:00 (GMT),0.39115
1995-01-01T00:00:00+00:00 (GMT),0.40492
1996-01-01T00:00:00+00:00 (GMT),0.44263
1997-01-01T00:00:00+00:00 (GMT),0.45374
1998-01-01T00:00:00+00:00 (GMT),0.41143
1999-01-01T00:00:00+00:00 (GMT),0.46783
2000-01-01T00:00:00+00:00 (GMT),0.47945
2001-01-01T00:00:00+00:00 (GMT),0.46297
2002-01-01T00:00:00+00:00 (GMT),0.44283
2003-01-01T00:00:00+00:00 (GMT),0.37076
2004-01-01T00:00:00+00:00 (GMT),0.39726
2005-01-01T00:00:00+00:00 (GMT),0.38
2006-01-01T00:00:00+00:00 (GMT),0.41318
2007-01-01T00:00:00+00:00 (GMT),0.43265
2008-01-01T00:00:00+00:00 (GMT),0.45112
