country=Peoples+Republic+of+China+&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.05533
1993-01-01T00:00:00+00:00 (GMT),0.0553
1994-01-01T00:00:00+00:00 (GMT),0.05348
1995-01-01T00:00:00+00:00 (GMT),0.05593
1996-01-01T00:00:00+00:00 (GMT),0.05717
1997-01-01T00:00:00+00:00 (GMT),0.05602
1998-01-01T00:00:00+00:00 (GMT),0.05734
1999-01-01T00:00:00+00:00 (GMT),0.05558
2000-01-01T00:00:00+00:00 (GMT),0.05329
2001-01-01T00:00:00+00:00 (GMT),0.05154
2002-01-01T00:00:00+00:00 (GMT),0.05214
2003-01-01T00:00:00+00:00 (GMT),0.05406
2004-01-01T00:00:00+00:00 (GMT),0.05612
2005-01-01T00:00:00+00:00 (GMT),0.05488
2006-01-01T00:00:00+00:00 (GMT),0.05484
