country=Philippines&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.06926
1993-01-01T00:00:00+00:00 (GMT),0.06796
1994-01-01T00:00:00+00:00 (GMT),0.07085
1995-01-01T00:00:00+00:00 (GMT),0.07505
1996-01-01T00:00:00+00:00 (GMT),0.07745
1997-01-01T00:00:00+00:00 (GMT),0.08128
1998-01-01T00:00:00+00:00 (GMT),0.08264
1999-01-01T00:00:00+00:00 (GMT),0.07343
2000-01-01T00:00:00+00:00 (GMT),0.08108
2001-01-01T00:00:00+00:00 (GMT),0.07869
2002-01-01T00:00:00+00:00 (GMT),0.07371
2003-01-01T00:00:00+00:00 (GMT),0.07423
2004-01-01T00:00:00+00:00 (GMT),0.07417
2005-01-01T00:00:00+00:00 (GMT),0.06976
2006-01-01T00:00:00+00:00 (GMT),0.06527
2007-01-01T00:00:00+00:00 (GMT),0.07112
2008-01-01T00:00:00+00:00 (GMT),0.07597
