country=Poland&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.04368
1991-01-01T00:00:00+00:00 (GMT),0.04404
1992-01-01T00:00:00+00:00 (GMT),0.05251
1993-01-01T00:00:00+00:00 (GMT),0.04605
1994-01-01T00:00:00+00:00 (GMT),0.04396
1995-01-01T00:00:00+00:00 (GMT),0.04844
1996-01-01T00:00:00+00:00 (GMT),0.03654
1997-01-01T00:00:00+00:00 (GMT),0.03902
1998-01-01T00:00:00+00:00 (GMT),0.03986
1999-01-01T00:00:00+00:00 (GMT),0.04558
2000-01-01T00:00:00+00:00 (GMT),0.04058
2001-01-01T00:00:00+00:00 (GMT),0.0374
2002-01-01T00:00:00+00:00 (GMT),0.04333
2003-01-01T00:00:00+00:00 (GMT),0.035
2004-01-01T00:00:00+00:00 (GMT),0.03826
2005-01-01T00:00:00+00:00 (GMT),0.04178
2006-01-01T00:00:00+00:00 (GMT),0.02969
2007-01-01T00:00:00+00:00 (GMT),0.02298
2008-01-01T00:00:00+00:00 (GMT),0.03066
