country=Portugal&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.5162
1991-01-01T00:00:00+00:00 (GMT),0.52043
1992-01-01T00:00:00+00:00 (GMT),0.62047
1993-01-01T00:00:00+00:00 (GMT),0.54407
1994-01-01T00:00:00+00:00 (GMT),0.5195
1995-01-01T00:00:00+00:00 (GMT),0.5724
1996-01-01T00:00:00+00:00 (GMT),0.43184
1997-01-01T00:00:00+00:00 (GMT),0.46107
1998-01-01T00:00:00+00:00 (GMT),0.47095
1999-01-01T00:00:00+00:00 (GMT),0.53864
2000-01-01T00:00:00+00:00 (GMT),0.47952
2001-01-01T00:00:00+00:00 (GMT),0.44193
2002-01-01T00:00:00+00:00 (GMT),0.51196
2003-01-01T00:00:00+00:00 (GMT),0.41356
2004-01-01T00:00:00+00:00 (GMT),0.45204
2005-01-01T00:00:00+00:00 (GMT),0.5011
2006-01-01T00:00:00+00:00 (GMT),0.41811
2007-01-01T00:00:00+00:00 (GMT),0.38452
2008-01-01T00:00:00+00:00 (GMT),0.38354
