country=Romania&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.49326
1993-01-01T00:00:00+00:00 (GMT),0.46289
1994-01-01T00:00:00+00:00 (GMT),0.54918
1995-01-01T00:00:00+00:00 (GMT),0.53033
1996-01-01T00:00:00+00:00 (GMT),0.53498
1997-01-01T00:00:00+00:00 (GMT),0.46381
1998-01-01T00:00:00+00:00 (GMT),0.42295
1999-01-01T00:00:00+00:00 (GMT),0.43329
2000-01-01T00:00:00+00:00 (GMT),0.47664
2001-01-01T00:00:00+00:00 (GMT),0.49659
2002-01-01T00:00:00+00:00 (GMT),0.49667
2003-01-01T00:00:00+00:00 (GMT),0.54343
2004-01-01T00:00:00+00:00 (GMT),0.50386
2005-01-01T00:00:00+00:00 (GMT),0.47926
2006-01-01T00:00:00+00:00 (GMT),0.51594
2007-01-01T00:00:00+00:00 (GMT),0.52628
2008-01-01T00:00:00+00:00 (GMT),0.5017
