country=Romania&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.03245
1991-01-01T00:00:00+00:00 (GMT),0.03334
1992-01-01T00:00:00+00:00 (GMT),0.03091
1993-01-01T00:00:00+00:00 (GMT),0.0354
1994-01-01T00:00:00+00:00 (GMT),0.03076
1995-01-01T00:00:00+00:00 (GMT),0.03237
1996-01-01T00:00:00+00:00 (GMT),0.03119
1997-01-01T00:00:00+00:00 (GMT),0.03256
1998-01-01T00:00:00+00:00 (GMT),0.03032
1999-01-01T00:00:00+00:00 (GMT),0.02935
2000-01-01T00:00:00+00:00 (GMT),0.02304
2001-01-01T00:00:00+00:00 (GMT),0.02084
2002-01-01T00:00:00+00:00 (GMT),0.01856
2003-01-01T00:00:00+00:00 (GMT),0.02202
2004-01-01T00:00:00+00:00 (GMT),0.02074
2005-01-01T00:00:00+00:00 (GMT),0.02222
2006-01-01T00:00:00+00:00 (GMT),0.0206
2007-01-01T00:00:00+00:00 (GMT),0.0202
2008-01-01T00:00:00+00:00 (GMT),0.01607
