country=Romania&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.4093
1993-01-01T00:00:00+00:00 (GMT),0.38409
1994-01-01T00:00:00+00:00 (GMT),0.4557
1995-01-01T00:00:00+00:00 (GMT),0.44006
1996-01-01T00:00:00+00:00 (GMT),0.44392
1997-01-01T00:00:00+00:00 (GMT),0.38486
1998-01-01T00:00:00+00:00 (GMT),0.35096
1999-01-01T00:00:00+00:00 (GMT),0.35953
2000-01-01T00:00:00+00:00 (GMT),0.39551
2001-01-01T00:00:00+00:00 (GMT),0.41206
2002-01-01T00:00:00+00:00 (GMT),0.41213
2003-01-01T00:00:00+00:00 (GMT),0.45093
2004-01-01T00:00:00+00:00 (GMT),0.4181
2005-01-01T00:00:00+00:00 (GMT),0.40023
2006-01-01T00:00:00+00:00 (GMT),0.42861
2007-01-01T00:00:00+00:00 (GMT),0.43812
2008-01-01T00:00:00+00:00 (GMT),0.41665
