country=Russian+Federation&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.02809
1993-01-01T00:00:00+00:00 (GMT),0.0256
1994-01-01T00:00:00+00:00 (GMT),0.02603
1995-01-01T00:00:00+00:00 (GMT),0.02565
1996-01-01T00:00:00+00:00 (GMT),0.03007
1997-01-01T00:00:00+00:00 (GMT),0.02887
1998-01-01T00:00:00+00:00 (GMT),0.0287
1999-01-01T00:00:00+00:00 (GMT),0.02875
2000-01-01T00:00:00+00:00 (GMT),0.02821
2001-01-01T00:00:00+00:00 (GMT),0.02827
2002-01-01T00:00:00+00:00 (GMT),0.02872
2003-01-01T00:00:00+00:00 (GMT),0.02896
2004-01-01T00:00:00+00:00 (GMT),0.02854
2005-01-01T00:00:00+00:00 (GMT),0.02253
2006-01-01T00:00:00+00:00 (GMT),0.03534
2007-01-01T00:00:00+00:00 (GMT),0.03452
2008-01-01T00:00:00+00:00 (GMT),0.03576
