country=Saudi+Arabia&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.90789
1993-01-01T00:00:00+00:00 (GMT),0.91305
1994-01-01T00:00:00+00:00 (GMT),0.88909
1995-01-01T00:00:00+00:00 (GMT),0.88839
1996-01-01T00:00:00+00:00 (GMT),0.87414
1997-01-01T00:00:00+00:00 (GMT),0.88142
1998-01-01T00:00:00+00:00 (GMT),0.88818
1999-01-01T00:00:00+00:00 (GMT),0.88459
2000-01-01T00:00:00+00:00 (GMT),0.88269
2001-01-01T00:00:00+00:00 (GMT),0.84825
2002-01-01T00:00:00+00:00 (GMT),0.81888
2003-01-01T00:00:00+00:00 (GMT),0.80605
2004-01-01T00:00:00+00:00 (GMT),0.83187
2005-01-01T00:00:00+00:00 (GMT),0.86
2006-01-01T00:00:00+00:00 (GMT),0.82439
2007-01-01T00:00:00+00:00 (GMT),0.81333
2008-01-01T00:00:00+00:00 (GMT),0.83168
