country=Saudi+Arabia&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.07508
1993-01-01T00:00:00+00:00 (GMT),0.07551
1994-01-01T00:00:00+00:00 (GMT),0.07353
1995-01-01T00:00:00+00:00 (GMT),0.07346
1996-01-01T00:00:00+00:00 (GMT),0.07229
1997-01-01T00:00:00+00:00 (GMT),0.07289
1998-01-01T00:00:00+00:00 (GMT),0.07345
1999-01-01T00:00:00+00:00 (GMT),0.07315
2000-01-01T00:00:00+00:00 (GMT),0.073
2001-01-01T00:00:00+00:00 (GMT),0.07015
2002-01-01T00:00:00+00:00 (GMT),0.06772
2003-01-01T00:00:00+00:00 (GMT),0.06666
2004-01-01T00:00:00+00:00 (GMT),0.06879
2005-01-01T00:00:00+00:00 (GMT),0.10418
2006-01-01T00:00:00+00:00 (GMT),0.06436
2007-01-01T00:00:00+00:00 (GMT),0.07305
2008-01-01T00:00:00+00:00 (GMT),0.07749
