country=Saudi+Arabia&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.83281
1993-01-01T00:00:00+00:00 (GMT),0.83754
1994-01-01T00:00:00+00:00 (GMT),0.81556
1995-01-01T00:00:00+00:00 (GMT),0.81493
1996-01-01T00:00:00+00:00 (GMT),0.80185
1997-01-01T00:00:00+00:00 (GMT),0.80853
1998-01-01T00:00:00+00:00 (GMT),0.81473
1999-01-01T00:00:00+00:00 (GMT),0.81144
2000-01-01T00:00:00+00:00 (GMT),0.80969
2001-01-01T00:00:00+00:00 (GMT),0.7781
2002-01-01T00:00:00+00:00 (GMT),0.75116
2003-01-01T00:00:00+00:00 (GMT),0.73939
2004-01-01T00:00:00+00:00 (GMT),0.76308
2005-01-01T00:00:00+00:00 (GMT),0.75582
2006-01-01T00:00:00+00:00 (GMT),0.76003
2007-01-01T00:00:00+00:00 (GMT),0.74028
2008-01-01T00:00:00+00:00 (GMT),0.75419
