country=Singapore&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.9
1993-01-01T00:00:00+00:00 (GMT),1.07422
1994-01-01T00:00:00+00:00 (GMT),1.04475
1995-01-01T00:00:00+00:00 (GMT),1.004
1996-01-01T00:00:00+00:00 (GMT),0.94128
1997-01-01T00:00:00+00:00 (GMT),0.82298
1998-01-01T00:00:00+00:00 (GMT),0.82828
1999-01-01T00:00:00+00:00 (GMT),0.883
2000-01-01T00:00:00+00:00 (GMT),0.89502
2001-01-01T00:00:00+00:00 (GMT),0.84208
2002-01-01T00:00:00+00:00 (GMT),0.76473
2003-01-01T00:00:00+00:00 (GMT),0.70285
2004-01-01T00:00:00+00:00 (GMT),0.66593
2005-01-01T00:00:00+00:00 (GMT),0.63386
2006-01-01T00:00:00+00:00 (GMT),0.5969
2007-01-01T00:00:00+00:00 (GMT),0.57038
2008-01-01T00:00:00+00:00 (GMT),0.56258
