country=Slovak+Republic&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.02783
1993-01-01T00:00:00+00:00 (GMT),0.02888
1994-01-01T00:00:00+00:00 (GMT),0.02608
1995-01-01T00:00:00+00:00 (GMT),0.02639
1996-01-01T00:00:00+00:00 (GMT),0.02509
1997-01-01T00:00:00+00:00 (GMT),0.02941
1998-01-01T00:00:00+00:00 (GMT),0.02983
1999-01-01T00:00:00+00:00 (GMT),0.02739
2000-01-01T00:00:00+00:00 (GMT),0.02723
2001-01-01T00:00:00+00:00 (GMT),0.02845
2002-01-01T00:00:00+00:00 (GMT),0.0299
2003-01-01T00:00:00+00:00 (GMT),0.02954
2004-01-01T00:00:00+00:00 (GMT),0.02742
2005-01-01T00:00:00+00:00 (GMT),0.03191
2006-01-01T00:00:00+00:00 (GMT),0.02865
2007-01-01T00:00:00+00:00 (GMT),0.02977
2008-01-01T00:00:00+00:00 (GMT),0.0254
