country=Slovenia&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.37351
1993-01-01T00:00:00+00:00 (GMT),0.38766
1994-01-01T00:00:00+00:00 (GMT),0.35015
1995-01-01T00:00:00+00:00 (GMT),0.35436
1996-01-01T00:00:00+00:00 (GMT),0.33688
1997-01-01T00:00:00+00:00 (GMT),0.39481
1998-01-01T00:00:00+00:00 (GMT),0.40042
1999-01-01T00:00:00+00:00 (GMT),0.36779
2000-01-01T00:00:00+00:00 (GMT),0.36554
2001-01-01T00:00:00+00:00 (GMT),0.38193
2002-01-01T00:00:00+00:00 (GMT),0.40136
2003-01-01T00:00:00+00:00 (GMT),0.39661
2004-01-01T00:00:00+00:00 (GMT),0.36815
2005-01-01T00:00:00+00:00 (GMT),0.3765
2006-01-01T00:00:00+00:00 (GMT),0.38361
2007-01-01T00:00:00+00:00 (GMT),0.39641
2008-01-01T00:00:00+00:00 (GMT),0.35423
