country=Slovenia&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.04457
1991-01-01T00:00:00+00:00 (GMT),0.044
1992-01-01T00:00:00+00:00 (GMT),0.0495
1993-01-01T00:00:00+00:00 (GMT),0.0434
1994-01-01T00:00:00+00:00 (GMT),0.04286
1995-01-01T00:00:00+00:00 (GMT),0.04731
1996-01-01T00:00:00+00:00 (GMT),0.03733
1997-01-01T00:00:00+00:00 (GMT),0.0409
1998-01-01T00:00:00+00:00 (GMT),0.03975
1999-01-01T00:00:00+00:00 (GMT),0.04638
2000-01-01T00:00:00+00:00 (GMT),0.04487
2001-01-01T00:00:00+00:00 (GMT),0.03984
2002-01-01T00:00:00+00:00 (GMT),0.04529
2003-01-01T00:00:00+00:00 (GMT),0.03948
2004-01-01T00:00:00+00:00 (GMT),0.03983
2005-01-01T00:00:00+00:00 (GMT),0.04254
2006-01-01T00:00:00+00:00 (GMT),0.02012
2007-01-01T00:00:00+00:00 (GMT),0.02214
2008-01-01T00:00:00+00:00 (GMT),0.01842
