country=Slovenia&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.34568
1993-01-01T00:00:00+00:00 (GMT),0.35878
1994-01-01T00:00:00+00:00 (GMT),0.32407
1995-01-01T00:00:00+00:00 (GMT),0.32797
1996-01-01T00:00:00+00:00 (GMT),0.31179
1997-01-01T00:00:00+00:00 (GMT),0.3654
1998-01-01T00:00:00+00:00 (GMT),0.37059
1999-01-01T00:00:00+00:00 (GMT),0.3404
2000-01-01T00:00:00+00:00 (GMT),0.33831
2001-01-01T00:00:00+00:00 (GMT),0.35348
2002-01-01T00:00:00+00:00 (GMT),0.37146
2003-01-01T00:00:00+00:00 (GMT),0.36707
2004-01-01T00:00:00+00:00 (GMT),0.34073
2005-01-01T00:00:00+00:00 (GMT),0.34459
2006-01-01T00:00:00+00:00 (GMT),0.35496
2007-01-01T00:00:00+00:00 (GMT),0.36664
2008-01-01T00:00:00+00:00 (GMT),0.32883
