country=South+Africa&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.85531
1993-01-01T00:00:00+00:00 (GMT),0.88052
1994-01-01T00:00:00+00:00 (GMT),0.86361
1995-01-01T00:00:00+00:00 (GMT),0.87813
1996-01-01T00:00:00+00:00 (GMT),0.86067
1997-01-01T00:00:00+00:00 (GMT),0.86949
1998-01-01T00:00:00+00:00 (GMT),0.92747
1999-01-01T00:00:00+00:00 (GMT),0.88973
2000-01-01T00:00:00+00:00 (GMT),0.89303
2001-01-01T00:00:00+00:00 (GMT),0.82895
2002-01-01T00:00:00+00:00 (GMT),0.81946
2003-01-01T00:00:00+00:00 (GMT),0.84909
2004-01-01T00:00:00+00:00 (GMT),0.87118
2005-01-01T00:00:00+00:00 (GMT),0.85174
2006-01-01T00:00:00+00:00 (GMT),0.83177
2007-01-01T00:00:00+00:00 (GMT),0.84483
2008-01-01T00:00:00+00:00 (GMT),0.83495
