country=Spain&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00342
1991-01-01T00:00:00+00:00 (GMT),0.00416
1992-01-01T00:00:00+00:00 (GMT),0.00362
1993-01-01T00:00:00+00:00 (GMT),0.00369
1994-01-01T00:00:00+00:00 (GMT),0.00399
1995-01-01T00:00:00+00:00 (GMT),0.00354
1996-01-01T00:00:00+00:00 (GMT),0.00524
1997-01-01T00:00:00+00:00 (GMT),0.0036
1998-01-01T00:00:00+00:00 (GMT),0.00377
1999-01-01T00:00:00+00:00 (GMT),0.00347
2000-01-01T00:00:00+00:00 (GMT),0.00294
2001-01-01T00:00:00+00:00 (GMT),0.00298
2002-01-01T00:00:00+00:00 (GMT),0.00366
2003-01-01T00:00:00+00:00 (GMT),0.00421
2004-01-01T00:00:00+00:00 (GMT),0.00361
2005-01-01T00:00:00+00:00 (GMT),0.00328
2006-01-01T00:00:00+00:00 (GMT),0.00336
2007-01-01T00:00:00+00:00 (GMT),0.00276
2008-01-01T00:00:00+00:00 (GMT),0.00296
