country=Sweden&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.05169
1991-01-01T00:00:00+00:00 (GMT),0.06286
1992-01-01T00:00:00+00:00 (GMT),0.0546
1993-01-01T00:00:00+00:00 (GMT),0.05573
1994-01-01T00:00:00+00:00 (GMT),0.06027
1995-01-01T00:00:00+00:00 (GMT),0.05355
1996-01-01T00:00:00+00:00 (GMT),0.07914
1997-01-01T00:00:00+00:00 (GMT),0.05439
1998-01-01T00:00:00+00:00 (GMT),0.05696
1999-01-01T00:00:00+00:00 (GMT),0.05241
2000-01-01T00:00:00+00:00 (GMT),0.04446
2001-01-01T00:00:00+00:00 (GMT),0.04503
2002-01-01T00:00:00+00:00 (GMT),0.05536
2003-01-01T00:00:00+00:00 (GMT),0.0636
2004-01-01T00:00:00+00:00 (GMT),0.05459
2005-01-01T00:00:00+00:00 (GMT),0.04732
2006-01-01T00:00:00+00:00 (GMT),0.05132
2007-01-01T00:00:00+00:00 (GMT),0.0428
2008-01-01T00:00:00+00:00 (GMT),0.0429
