country=Sweden&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.0628
1991-01-01T00:00:00+00:00 (GMT),0.06178
1992-01-01T00:00:00+00:00 (GMT),0.06132
1993-01-01T00:00:00+00:00 (GMT),0.05433
1994-01-01T00:00:00+00:00 (GMT),0.05146
1995-01-01T00:00:00+00:00 (GMT),0.04942
1996-01-01T00:00:00+00:00 (GMT),0.04821
1997-01-01T00:00:00+00:00 (GMT),0.04502
1998-01-01T00:00:00+00:00 (GMT),0.04455
1999-01-01T00:00:00+00:00 (GMT),0.04117
2000-01-01T00:00:00+00:00 (GMT),0.04309
2001-01-01T00:00:00+00:00 (GMT),0.04429
2002-01-01T00:00:00+00:00 (GMT),0.04297
2003-01-01T00:00:00+00:00 (GMT),0.04467
2004-01-01T00:00:00+00:00 (GMT),0.04544
2005-01-01T00:00:00+00:00 (GMT),0.04304
2006-01-01T00:00:00+00:00 (GMT),0.04004
2007-01-01T00:00:00+00:00 (GMT),0.03841
2008-01-01T00:00:00+00:00 (GMT),0.03848
