country=Sweden&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.04827
1991-01-01T00:00:00+00:00 (GMT),0.0587
1992-01-01T00:00:00+00:00 (GMT),0.05098
1993-01-01T00:00:00+00:00 (GMT),0.05204
1994-01-01T00:00:00+00:00 (GMT),0.05628
1995-01-01T00:00:00+00:00 (GMT),0.05001
1996-01-01T00:00:00+00:00 (GMT),0.0739
1997-01-01T00:00:00+00:00 (GMT),0.05079
1998-01-01T00:00:00+00:00 (GMT),0.05319
1999-01-01T00:00:00+00:00 (GMT),0.04894
2000-01-01T00:00:00+00:00 (GMT),0.04152
2001-01-01T00:00:00+00:00 (GMT),0.04205
2002-01-01T00:00:00+00:00 (GMT),0.0517
2003-01-01T00:00:00+00:00 (GMT),0.05939
2004-01-01T00:00:00+00:00 (GMT),0.05098
2005-01-01T00:00:00+00:00 (GMT),0.04404
2006-01-01T00:00:00+00:00 (GMT),0.04796
2007-01-01T00:00:00+00:00 (GMT),0.04004
2008-01-01T00:00:00+00:00 (GMT),0.03994
