country=Switzerland&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.02325
1991-01-01T00:00:00+00:00 (GMT),0.02622
1992-01-01T00:00:00+00:00 (GMT),0.02983
1993-01-01T00:00:00+00:00 (GMT),0.02225
1994-01-01T00:00:00+00:00 (GMT),0.02126
1995-01-01T00:00:00+00:00 (GMT),0.02351
1996-01-01T00:00:00+00:00 (GMT),0.02747
1997-01-01T00:00:00+00:00 (GMT),0.02437
1998-01-01T00:00:00+00:00 (GMT),0.02952
1999-01-01T00:00:00+00:00 (GMT),0.02745
2000-01-01T00:00:00+00:00 (GMT),0.02736
2001-01-01T00:00:00+00:00 (GMT),0.02672
2002-01-01T00:00:00+00:00 (GMT),0.02749
2003-01-01T00:00:00+00:00 (GMT),0.02873
2004-01-01T00:00:00+00:00 (GMT),0.03039
2005-01-01T00:00:00+00:00 (GMT),0.034
2006-01-01T00:00:00+00:00 (GMT),0.03244
2007-01-01T00:00:00+00:00 (GMT),0.02932
2008-01-01T00:00:00+00:00 (GMT),0.02945
