country=Switzerland&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00166
1991-01-01T00:00:00+00:00 (GMT),0.00187
1992-01-01T00:00:00+00:00 (GMT),0.00213
1993-01-01T00:00:00+00:00 (GMT),0.00159
1994-01-01T00:00:00+00:00 (GMT),0.00151
1995-01-01T00:00:00+00:00 (GMT),0.00168
1996-01-01T00:00:00+00:00 (GMT),0.00196
1997-01-01T00:00:00+00:00 (GMT),0.00174
1998-01-01T00:00:00+00:00 (GMT),0.00211
1999-01-01T00:00:00+00:00 (GMT),0.00195
2000-01-01T00:00:00+00:00 (GMT),0.00195
2001-01-01T00:00:00+00:00 (GMT),0.00191
2002-01-01T00:00:00+00:00 (GMT),0.00196
2003-01-01T00:00:00+00:00 (GMT),0.00205
2004-01-01T00:00:00+00:00 (GMT),0.00216
2005-01-01T00:00:00+00:00 (GMT),0.00233
2006-01-01T00:00:00+00:00 (GMT),0.00221
2007-01-01T00:00:00+00:00 (GMT),0.00207
2008-01-01T00:00:00+00:00 (GMT),0.00206
