country=Switzerland&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.02159
1991-01-01T00:00:00+00:00 (GMT),0.02435
1992-01-01T00:00:00+00:00 (GMT),0.0277
1993-01-01T00:00:00+00:00 (GMT),0.02066
1994-01-01T00:00:00+00:00 (GMT),0.01975
1995-01-01T00:00:00+00:00 (GMT),0.02183
1996-01-01T00:00:00+00:00 (GMT),0.02551
1997-01-01T00:00:00+00:00 (GMT),0.02263
1998-01-01T00:00:00+00:00 (GMT),0.02741
1999-01-01T00:00:00+00:00 (GMT),0.0255
2000-01-01T00:00:00+00:00 (GMT),0.02541
2001-01-01T00:00:00+00:00 (GMT),0.02481
2002-01-01T00:00:00+00:00 (GMT),0.02553
2003-01-01T00:00:00+00:00 (GMT),0.02668
2004-01-01T00:00:00+00:00 (GMT),0.02823
2005-01-01T00:00:00+00:00 (GMT),0.03167
2006-01-01T00:00:00+00:00 (GMT),0.03023
2007-01-01T00:00:00+00:00 (GMT),0.02725
2008-01-01T00:00:00+00:00 (GMT),0.02739
