country=Thailand&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.70237
1993-01-01T00:00:00+00:00 (GMT),0.68477
1994-01-01T00:00:00+00:00 (GMT),0.6775
1995-01-01T00:00:00+00:00 (GMT),0.65866
1996-01-01T00:00:00+00:00 (GMT),0.67969
1997-01-01T00:00:00+00:00 (GMT),0.68869
1998-01-01T00:00:00+00:00 (GMT),0.66045
1999-01-01T00:00:00+00:00 (GMT),0.64776
2000-01-01T00:00:00+00:00 (GMT),0.61298
2001-01-01T00:00:00+00:00 (GMT),0.61114
2002-01-01T00:00:00+00:00 (GMT),0.59518
2003-01-01T00:00:00+00:00 (GMT),0.57366
2004-01-01T00:00:00+00:00 (GMT),0.58542
2005-01-01T00:00:00+00:00 (GMT),0.58274
2006-01-01T00:00:00+00:00 (GMT),0.5556
2007-01-01T00:00:00+00:00 (GMT),0.57284
2008-01-01T00:00:00+00:00 (GMT),0.56409
