country=Turkey&type=electricity+distribution+and+transmission
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.10497
1991-01-01T00:00:00+00:00 (GMT),0.10466
1992-01-01T00:00:00+00:00 (GMT),0.10286
1993-01-01T00:00:00+00:00 (GMT),0.09328
1994-01-01T00:00:00+00:00 (GMT),0.10163
1995-01-01T00:00:00+00:00 (GMT),0.09464
1996-01-01T00:00:00+00:00 (GMT),0.0962
1997-01-01T00:00:00+00:00 (GMT),0.0969
1998-01-01T00:00:00+00:00 (GMT),0.09796
1999-01-01T00:00:00+00:00 (GMT),0.10136
2000-01-01T00:00:00+00:00 (GMT),0.09581
2001-01-01T00:00:00+00:00 (GMT),0.10044
2002-01-01T00:00:00+00:00 (GMT),0.08716
2003-01-01T00:00:00+00:00 (GMT),0.08201
2004-01-01T00:00:00+00:00 (GMT),0.07745
2005-01-01T00:00:00+00:00 (GMT),0.07304
2006-01-01T00:00:00+00:00 (GMT),0.07037
2007-01-01T00:00:00+00:00 (GMT),0.07636
2008-01-01T00:00:00+00:00 (GMT),0.07855
