country=Turkey&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.56842
1991-01-01T00:00:00+00:00 (GMT),0.56675
1992-01-01T00:00:00+00:00 (GMT),0.55701
1993-01-01T00:00:00+00:00 (GMT),0.50511
1994-01-01T00:00:00+00:00 (GMT),0.55039
1995-01-01T00:00:00+00:00 (GMT),0.51248
1996-01-01T00:00:00+00:00 (GMT),0.52095
1997-01-01T00:00:00+00:00 (GMT),0.52474
1998-01-01T00:00:00+00:00 (GMT),0.53042
1999-01-01T00:00:00+00:00 (GMT),0.5489
2000-01-01T00:00:00+00:00 (GMT),0.51886
2001-01-01T00:00:00+00:00 (GMT),0.54389
2002-01-01T00:00:00+00:00 (GMT),0.47199
2003-01-01T00:00:00+00:00 (GMT),0.44407
2004-01-01T00:00:00+00:00 (GMT),0.41938
2005-01-01T00:00:00+00:00 (GMT),0.42638
2006-01-01T00:00:00+00:00 (GMT),0.43822
2007-01-01T00:00:00+00:00 (GMT),0.47821
2008-01-01T00:00:00+00:00 (GMT),0.49528
