country=Ukraine&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.50179
1993-01-01T00:00:00+00:00 (GMT),0.5229
1994-01-01T00:00:00+00:00 (GMT),0.49005
1995-01-01T00:00:00+00:00 (GMT),0.49263
1996-01-01T00:00:00+00:00 (GMT),0.42843
1997-01-01T00:00:00+00:00 (GMT),0.41562
1998-01-01T00:00:00+00:00 (GMT),0.42653
1999-01-01T00:00:00+00:00 (GMT),0.43567
2000-01-01T00:00:00+00:00 (GMT),0.44558
2001-01-01T00:00:00+00:00 (GMT),0.42338
2002-01-01T00:00:00+00:00 (GMT),0.41722
2003-01-01T00:00:00+00:00 (GMT),0.48948
2004-01-01T00:00:00+00:00 (GMT),0.4066
2005-01-01T00:00:00+00:00 (GMT),0.42091
2006-01-01T00:00:00+00:00 (GMT),0.4339
2007-01-01T00:00:00+00:00 (GMT),0.44748
2008-01-01T00:00:00+00:00 (GMT),0.47763
