country=Ukraine&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.39057
1993-01-01T00:00:00+00:00 (GMT),0.407
1994-01-01T00:00:00+00:00 (GMT),0.38143
1995-01-01T00:00:00+00:00 (GMT),0.38344
1996-01-01T00:00:00+00:00 (GMT),0.33347
1997-01-01T00:00:00+00:00 (GMT),0.3235
1998-01-01T00:00:00+00:00 (GMT),0.332
1999-01-01T00:00:00+00:00 (GMT),0.33911
2000-01-01T00:00:00+00:00 (GMT),0.34682
2001-01-01T00:00:00+00:00 (GMT),0.32954
2002-01-01T00:00:00+00:00 (GMT),0.32475
2003-01-01T00:00:00+00:00 (GMT),0.38099
2004-01-01T00:00:00+00:00 (GMT),0.31648
2005-01-01T00:00:00+00:00 (GMT),0.33115
2006-01-01T00:00:00+00:00 (GMT),0.34551
2007-01-01T00:00:00+00:00 (GMT),0.36025
2008-01-01T00:00:00+00:00 (GMT),0.38611
