country=United+States&type=electricity+consumption
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.631
1993-01-01T00:00:00+00:00 (GMT),0.62571
1994-01-01T00:00:00+00:00 (GMT),0.62459
1995-01-01T00:00:00+00:00 (GMT),0.6225
1996-01-01T00:00:00+00:00 (GMT),0.62772
1997-01-01T00:00:00+00:00 (GMT),0.6625
1998-01-01T00:00:00+00:00 (GMT),0.64874
1999-01-01T00:00:00+00:00 (GMT),0.6346
2000-01-01T00:00:00+00:00 (GMT),0.62966
2001-01-01T00:00:00+00:00 (GMT),0.66289
2002-01-01T00:00:00+00:00 (GMT),0.60972
2003-01-01T00:00:00+00:00 (GMT),0.61347
2004-01-01T00:00:00+00:00 (GMT),0.6138
2005-01-01T00:00:00+00:00 (GMT),0.61088
2006-01-01T00:00:00+00:00 (GMT),0.58262
2007-01-01T00:00:00+00:00 (GMT),0.58909
2008-01-01T00:00:00+00:00 (GMT),0.57107
