country=United+States&type=electricity+generation
annualMassDirectCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),null
1991-01-01T00:00:00+00:00 (GMT),null
1992-01-01T00:00:00+00:00 (GMT),0.58714
1993-01-01T00:00:00+00:00 (GMT),0.58222
1994-01-01T00:00:00+00:00 (GMT),0.58117
1995-01-01T00:00:00+00:00 (GMT),0.57923
1996-01-01T00:00:00+00:00 (GMT),0.58409
1997-01-01T00:00:00+00:00 (GMT),0.61645
1998-01-01T00:00:00+00:00 (GMT),0.60365
1999-01-01T00:00:00+00:00 (GMT),0.59049
2000-01-01T00:00:00+00:00 (GMT),0.58589
2001-01-01T00:00:00+00:00 (GMT),0.61681
2002-01-01T00:00:00+00:00 (GMT),0.56733
2003-01-01T00:00:00+00:00 (GMT),0.57082
2004-01-01T00:00:00+00:00 (GMT),0.57113
2005-01-01T00:00:00+00:00 (GMT),0.56964
2006-01-01T00:00:00+00:00 (GMT),0.54231
2007-01-01T00:00:00+00:00 (GMT),0.54921
2008-01-01T00:00:00+00:00 (GMT),0.53503
