type=electricity+consumption&emission=direct&basis=annual
massCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.74524
1991-01-01T00:00:00+00:00 (GMT),0.71858
1992-01-01T00:00:00+00:00 (GMT),0.66894
1993-01-01T00:00:00+00:00 (GMT),0.59156
1994-01-01T00:00:00+00:00 (GMT),0.58241
1995-01-01T00:00:00+00:00 (GMT),0.55559
1996-01-01T00:00:00+00:00 (GMT),0.54487
1997-01-01T00:00:00+00:00 (GMT),0.50163
1998-01-01T00:00:00+00:00 (GMT),0.5129
1999-01-01T00:00:00+00:00 (GMT),0.47884
2000-01-01T00:00:00+00:00 (GMT),0.50803
2001-01-01T00:00:00+00:00 (GMT),0.52883
2002-01-01T00:00:00+00:00 (GMT),0.51341
2003-01-01T00:00:00+00:00 (GMT),0.53785
2004-01-01T00:00:00+00:00 (GMT),0.53362
2005-01-01T00:00:00+00:00 (GMT),0.51688
2006-01-01T00:00:00+00:00 (GMT),0.54616
2007-01-01T00:00:00+00:00 (GMT),0.53692
2008-01-01T00:00:00+00:00 (GMT),0.5242
2009-01-01T00:00:00+00:00 (GMT),0.48152
