type=electricity+consumption&emission=direct&basis=annual
massCO2ePerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.75154
1991-01-01T00:00:00+00:00 (GMT),0.72468
1992-01-01T00:00:00+00:00 (GMT),0.67461
1993-01-01T00:00:00+00:00 (GMT),0.59626
1994-01-01T00:00:00+00:00 (GMT),0.58695
1995-01-01T00:00:00+00:00 (GMT),0.55984
1996-01-01T00:00:00+00:00 (GMT),0.54877
1997-01-01T00:00:00+00:00 (GMT),0.50498
1998-01-01T00:00:00+00:00 (GMT),0.51633
1999-01-01T00:00:00+00:00 (GMT),0.4818
2000-01-01T00:00:00+00:00 (GMT),0.51129
2001-01-01T00:00:00+00:00 (GMT),0.53232
2002-01-01T00:00:00+00:00 (GMT),0.51671
2003-01-01T00:00:00+00:00 (GMT),0.54142
2004-01-01T00:00:00+00:00 (GMT),0.53706
2005-01-01T00:00:00+00:00 (GMT),0.52037
2006-01-01T00:00:00+00:00 (GMT),0.54999
2007-01-01T00:00:00+00:00 (GMT),0.54051
2008-01-01T00:00:00+00:00 (GMT),0.52759
2009-01-01T00:00:00+00:00 (GMT),0.48462
