type=electricity+consumption&emission=direct&basis=rolling+average
massCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.74524
1991-01-01T00:00:00+00:00 (GMT),0.73191
1992-01-01T00:00:00+00:00 (GMT),0.71092
1993-01-01T00:00:00+00:00 (GMT),0.68108
1994-01-01T00:00:00+00:00 (GMT),0.66135
1995-01-01T00:00:00+00:00 (GMT),0.62342
1996-01-01T00:00:00+00:00 (GMT),0.58867
1997-01-01T00:00:00+00:00 (GMT),0.55521
1998-01-01T00:00:00+00:00 (GMT),0.53948
1999-01-01T00:00:00+00:00 (GMT),0.51877
2000-01-01T00:00:00+00:00 (GMT),0.50925
2001-01-01T00:00:00+00:00 (GMT),0.50605
2002-01-01T00:00:00+00:00 (GMT),0.5084
2003-01-01T00:00:00+00:00 (GMT),0.51339
2004-01-01T00:00:00+00:00 (GMT),0.52435
2005-01-01T00:00:00+00:00 (GMT),0.52612
2006-01-01T00:00:00+00:00 (GMT),0.52958
2007-01-01T00:00:00+00:00 (GMT),0.53429
2008-01-01T00:00:00+00:00 (GMT),0.53156
2009-01-01T00:00:00+00:00 (GMT),0.52114
