type=electricity+consumption&emission=direct&basis=rolling+average
massN2OPerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.0061
1991-01-01T00:00:00+00:00 (GMT),0.00601
1992-01-01T00:00:00+00:00 (GMT),0.00584
1993-01-01T00:00:00+00:00 (GMT),0.00551
1994-01-01T00:00:00+00:00 (GMT),0.00528
1995-01-01T00:00:00+00:00 (GMT),0.00487
1996-01-01T00:00:00+00:00 (GMT),0.00443
1997-01-01T00:00:00+00:00 (GMT),0.00396
1998-01-01T00:00:00+00:00 (GMT),0.00371
1999-01-01T00:00:00+00:00 (GMT),0.00339
2000-01-01T00:00:00+00:00 (GMT),0.00319
2001-01-01T00:00:00+00:00 (GMT),0.0031
2002-01-01T00:00:00+00:00 (GMT),0.00308
2003-01-01T00:00:00+00:00 (GMT),0.00311
2004-01-01T00:00:00+00:00 (GMT),0.0032
2005-01-01T00:00:00+00:00 (GMT),0.00324
2006-01-01T00:00:00+00:00 (GMT),0.0033
2007-01-01T00:00:00+00:00 (GMT),0.00335
2008-01-01T00:00:00+00:00 (GMT),0.00331
2009-01-01T00:00:00+00:00 (GMT),0.00323
