type=electricity+distribution+and+transmission&emission=direct&basis=annual
massCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.06019
1991-01-01T00:00:00+00:00 (GMT),0.05942
1992-01-01T00:00:00+00:00 (GMT),0.05048
1993-01-01T00:00:00+00:00 (GMT),0.04241
1994-01-01T00:00:00+00:00 (GMT),0.05575
1995-01-01T00:00:00+00:00 (GMT),0.0504
1996-01-01T00:00:00+00:00 (GMT),0.04579
1997-01-01T00:00:00+00:00 (GMT),0.0391
1998-01-01T00:00:00+00:00 (GMT),0.04306
1999-01-01T00:00:00+00:00 (GMT),0.03951
2000-01-01T00:00:00+00:00 (GMT),0.0426
2001-01-01T00:00:00+00:00 (GMT),0.04528
2002-01-01T00:00:00+00:00 (GMT),0.04238
2003-01-01T00:00:00+00:00 (GMT),0.04555
2004-01-01T00:00:00+00:00 (GMT),0.04648
2005-01-01T00:00:00+00:00 (GMT),0.03745
2006-01-01T00:00:00+00:00 (GMT),0.03942
2007-01-01T00:00:00+00:00 (GMT),0.03801
2008-01-01T00:00:00+00:00 (GMT),0.03872
2009-01-01T00:00:00+00:00 (GMT),0.03602
