type=electricity+distribution+and+transmission&emission=direct&basis=annual
massN2OPerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00049
1991-01-01T00:00:00+00:00 (GMT),0.00049
1992-01-01T00:00:00+00:00 (GMT),0.00042
1993-01-01T00:00:00+00:00 (GMT),0.00032
1994-01-01T00:00:00+00:00 (GMT),0.00042
1995-01-01T00:00:00+00:00 (GMT),0.00037
1996-01-01T00:00:00+00:00 (GMT),0.00031
1997-01-01T00:00:00+00:00 (GMT),0.00025
1998-01-01T00:00:00+00:00 (GMT),0.00027
1999-01-01T00:00:00+00:00 (GMT),0.00023
2000-01-01T00:00:00+00:00 (GMT),0.00026
2001-01-01T00:00:00+00:00 (GMT),0.00028
2002-01-01T00:00:00+00:00 (GMT),0.00025
2003-01-01T00:00:00+00:00 (GMT),0.00028
2004-01-01T00:00:00+00:00 (GMT),0.00028
2005-01-01T00:00:00+00:00 (GMT),0.00024
2006-01-01T00:00:00+00:00 (GMT),0.00026
2007-01-01T00:00:00+00:00 (GMT),0.00024
2008-01-01T00:00:00+00:00 (GMT),0.00023
2009-01-01T00:00:00+00:00 (GMT),0.00021
