type=electricity+distribution+and+transmission&emission=direct&basis=rolling+average
massCH4PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),2.0e-05
1991-01-01T00:00:00+00:00 (GMT),2.0e-05
1992-01-01T00:00:00+00:00 (GMT),1.0e-05
1993-01-01T00:00:00+00:00 (GMT),1.0e-05
1994-01-01T00:00:00+00:00 (GMT),1.0e-05
1995-01-01T00:00:00+00:00 (GMT),2.0e-05
1996-01-01T00:00:00+00:00 (GMT),2.0e-05
1997-01-01T00:00:00+00:00 (GMT),2.0e-05
1998-01-01T00:00:00+00:00 (GMT),2.0e-05
1999-01-01T00:00:00+00:00 (GMT),2.0e-05
2000-01-01T00:00:00+00:00 (GMT),2.0e-05
2001-01-01T00:00:00+00:00 (GMT),2.0e-05
2002-01-01T00:00:00+00:00 (GMT),2.0e-05
2003-01-01T00:00:00+00:00 (GMT),2.0e-05
2004-01-01T00:00:00+00:00 (GMT),2.0e-05
2005-01-01T00:00:00+00:00 (GMT),2.0e-05
2006-01-01T00:00:00+00:00 (GMT),2.0e-05
2007-01-01T00:00:00+00:00 (GMT),2.0e-05
2008-01-01T00:00:00+00:00 (GMT),2.0e-05
2009-01-01T00:00:00+00:00 (GMT),2.0e-05
