type=electricity+distribution+and+transmission&emission=direct&basis=rolling+average
massCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.06019
1991-01-01T00:00:00+00:00 (GMT),0.05981
1992-01-01T00:00:00+00:00 (GMT),0.0567
1993-01-01T00:00:00+00:00 (GMT),0.05313
1994-01-01T00:00:00+00:00 (GMT),0.05365
1995-01-01T00:00:00+00:00 (GMT),0.05169
1996-01-01T00:00:00+00:00 (GMT),0.04897
1997-01-01T00:00:00+00:00 (GMT),0.04669
1998-01-01T00:00:00+00:00 (GMT),0.04682
1999-01-01T00:00:00+00:00 (GMT),0.04357
2000-01-01T00:00:00+00:00 (GMT),0.04201
2001-01-01T00:00:00+00:00 (GMT),0.04191
2002-01-01T00:00:00+00:00 (GMT),0.04257
2003-01-01T00:00:00+00:00 (GMT),0.04306
2004-01-01T00:00:00+00:00 (GMT),0.04446
2005-01-01T00:00:00+00:00 (GMT),0.04343
2006-01-01T00:00:00+00:00 (GMT),0.04226
2007-01-01T00:00:00+00:00 (GMT),0.04138
2008-01-01T00:00:00+00:00 (GMT),0.04001
2009-01-01T00:00:00+00:00 (GMT),0.03792
