type=electricity+distribution+and+transmission&emission=direct&basis=rolling+average
massCO2ePerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.0607
1991-01-01T00:00:00+00:00 (GMT),0.06031
1992-01-01T00:00:00+00:00 (GMT),0.05718
1993-01-01T00:00:00+00:00 (GMT),0.05357
1994-01-01T00:00:00+00:00 (GMT),0.05409
1995-01-01T00:00:00+00:00 (GMT),0.05211
1996-01-01T00:00:00+00:00 (GMT),0.04935
1997-01-01T00:00:00+00:00 (GMT),0.04704
1998-01-01T00:00:00+00:00 (GMT),0.04716
1999-01-01T00:00:00+00:00 (GMT),0.04387
2000-01-01T00:00:00+00:00 (GMT),0.04229
2001-01-01T00:00:00+00:00 (GMT),0.04218
2002-01-01T00:00:00+00:00 (GMT),0.04284
2003-01-01T00:00:00+00:00 (GMT),0.04334
2004-01-01T00:00:00+00:00 (GMT),0.04475
2005-01-01T00:00:00+00:00 (GMT),0.04371
2006-01-01T00:00:00+00:00 (GMT),0.04254
2007-01-01T00:00:00+00:00 (GMT),0.04166
2008-01-01T00:00:00+00:00 (GMT),0.04028
2009-01-01T00:00:00+00:00 (GMT),0.03817
