type=electricity+distribution+and+transmission&emission=direct&basis=rolling+average
massN2OPerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00049
1991-01-01T00:00:00+00:00 (GMT),0.00049
1992-01-01T00:00:00+00:00 (GMT),0.00047
1993-01-01T00:00:00+00:00 (GMT),0.00043
1994-01-01T00:00:00+00:00 (GMT),0.00043
1995-01-01T00:00:00+00:00 (GMT),0.0004
1996-01-01T00:00:00+00:00 (GMT),0.00037
1997-01-01T00:00:00+00:00 (GMT),0.00033
1998-01-01T00:00:00+00:00 (GMT),0.00032
1999-01-01T00:00:00+00:00 (GMT),0.00029
2000-01-01T00:00:00+00:00 (GMT),0.00026
2001-01-01T00:00:00+00:00 (GMT),0.00026
2002-01-01T00:00:00+00:00 (GMT),0.00026
2003-01-01T00:00:00+00:00 (GMT),0.00026
2004-01-01T00:00:00+00:00 (GMT),0.00027
2005-01-01T00:00:00+00:00 (GMT),0.00027
2006-01-01T00:00:00+00:00 (GMT),0.00026
2007-01-01T00:00:00+00:00 (GMT),0.00026
2008-01-01T00:00:00+00:00 (GMT),0.00025
2009-01-01T00:00:00+00:00 (GMT),0.00023
