type=electricity+distribution+and+transmission&emission=indirect&basis=rolling+average
massCO2ePerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00795
1991-01-01T00:00:00+00:00 (GMT),0.00799
1992-01-01T00:00:00+00:00 (GMT),0.00709
1993-01-01T00:00:00+00:00 (GMT),0.00647
1994-01-01T00:00:00+00:00 (GMT),0.00836
1995-01-01T00:00:00+00:00 (GMT),0.00745
1996-01-01T00:00:00+00:00 (GMT),0.00652
1997-01-01T00:00:00+00:00 (GMT),0.00565
1998-01-01T00:00:00+00:00 (GMT),0.00584
1999-01-01T00:00:00+00:00 (GMT),0.00544
2000-01-01T00:00:00+00:00 (GMT),0.00535
2001-01-01T00:00:00+00:00 (GMT),0.00535
2002-01-01T00:00:00+00:00 (GMT),0.00514
2003-01-01T00:00:00+00:00 (GMT),0.00531
2004-01-01T00:00:00+00:00 (GMT),0.00559
2005-01-01T00:00:00+00:00 (GMT),0.00468
2006-01-01T00:00:00+00:00 (GMT),0.00473
2007-01-01T00:00:00+00:00 (GMT),0.00469
2008-01-01T00:00:00+00:00 (GMT),0.00485
2009-01-01T00:00:00+00:00 (GMT),0.00481
